aoa,Cl,Cd
-40.0,-0.23452391376343965,0.3316948312927393
-35.0,-0.19469251210429905,0.2938802420385943
-30.0,-0.5273858939104059,0.40937615828230295
-29.0,-0.5422763657003293,0.4140380376951048
-28.0,-0.5263316085857463,0.3897146642484101
-27.0,-0.4639222290970377,0.3449550206756363
-26.0,-0.5056213517957641,0.35936267756730744
-25.0,-0.49358041337232167,0.3401978896652355
-24.0,-0.43848100510919263,0.3080110516238899
-23.0,-0.4543976409292829,0.30250548760400775
-22.0,-0.4244593087659397,0.278477543192783
-21.0,-0.4061213740901043,0.2613599331247019
-20.0,-1.142449318671922,0.08255020517679812
-19.0,-1.2452490594125523,0.05798418293195107
-18.0,-1.2818233297980313,0.04338777510987195
-17.0,-1.2532961515287822,0.03614482791422397
-16.0,-1.2081047834687577,0.029976883934747085
-15.0,-1.1480300405298982,0.024922512653636885
-14.0,-1.0752709813261998,0.02088160471230055
-13.0,-0.9906411677974307,0.017621030266407777
-12.0,-0.8951552539248255,0.014974576891411358
-11.0,-0.7919545660766518,0.013020661244778436
-10.0,-0.6865032577768595,0.012297502408398792
-9.0,-0.5774847072866588,0.011068240920261948
-8.0,-0.4650885440978741,0.01028796639526804
-7.0,-0.3499999775771885,0.009557151228840618
-6.0,-0.23380798158015878,0.008935105652756367
-5.0,-0.11401551449347978,0.007046336908358339
-4.0,0.005793725228242842,0.006467836797174472
-3.0,0.1256028048873164,0.006089906417757545
-2.0,0.2456947292879019,0.005796623906655394
-1.0,0.3653775122157462,0.005632723966169916
0.0,0.4843342196568515,0.005620163260391918
1.0,0.6017445451368771,0.0058230651330371565
2.0,0.7179618422579082,0.006125092119389185
3.0,0.8328448190862072,0.0065199554422090454
4.0,0.9451327689837897,0.0071028502559510555
5.0,1.0556209618185641,0.007794756158068184
6.0,1.164393361682441,0.008581899336389382
7.0,1.270081448370406,0.009569528002978006
8.0,1.3740956953502323,0.01061605691631233
9.0,1.473660484305348,0.011945700150357093
10.0,1.5704101527457495,0.013380626697923344
11.0,1.6611495821610174,0.015149741591840592
12.0,1.7453149525717868,0.017292649105290152
13.0,1.8208629040594653,0.019869229517728775
14.0,1.8818584041746864,0.023480782039426305
15.0,1.9139988806144996,0.028941291231708403
16.0,1.939250092448465,0.0356832619925448
17.0,1.9359494004056672,0.04548342061603409
18.0,1.8521313745081631,0.0657553410817462
19.0,1.7467585904588268,0.08841772420047214
20.0,1.6698489002274393,0.1121974260451766
21.0,1.6051894746873732,0.13571561219838849
22.0,1.5182111726888183,0.1633796961582682
23.0,1.4417425436517344,0.19443513978892438
24.0,1.3607192628553382,0.22751252990424845
25.0,1.2795510451897927,0.26396046452567656
26.0,1.199248605129481,0.30220386961984586
27.0,1.1319639127525176,0.3435432794836013
28.0,1.0883378168542808,0.382497989651739
29.0,1.0409792791529455,0.42236724795266356
30.0,1.003136890344273,0.45489500160501406
