alpha,Cl,Cd
-1.002444988,0.018960743,
1.42e-14,0.14108053,0.00943734267377488
1.051344743,0.260743864,0.009560877194174375
2.078239609,0.379188942,0.009899316723987297
3.105134474,0.497634019,0.009983806
4.13202934,0.616079097,0.009982866153207542
5.158924205,0.735747416,0.00968019008778242
5.672371638,0.796804817,0.009482367817813928
6.185819071,0.852969252,0.009497829521425423
6.430317848,0.876160995,0.009462156895209907
6.699266504,0.88833858,0.010211009205799976
6.968215159,0.898069681,0.011390088876371666
7.212713936,0.913921975,
8.215158924,0.951638092,
9.24205379,0.972223842,
10.2200489,0.953675831,
11.24694377,0.947350266,
12.24938875,1.005861491,
13.25183374,1.03012195,
14.25427873,1.053159168,
15.25672372,1.060294246,
16.2591687,1.042964492,
17.23716381,0.9779333,
17.26161369,0.968142383,
18.2396088,0.937361955,
19.21760391,0.929823118,
20.2200489,0.922279297,
