Alpha,Cl,Cd
-1.036432758,0.023437815,
-0.006415042,0.141551295,0.012142394527609844
1.04795792,0.248676524,0.01221692790280241
2.053216959,0.344831433,0.012961104507145455
3.107515212,0.4458554,0.013381043603193789
4.1373088,0.54566509,0.013461238091338255
5.167147214,0.649135538,0.013965201844051513
5.706533731,0.699034407,0.014547979867950964
6.196895976,0.745284471,0.01540425233230737
6.736207784,0.789082076,0.01614485335079983
7.226525204,0.831671382,0.01712978759452735
7.741287521,0.870593954,0.01821938166913893
8.255945245,0.900974758,0.019595728834263245
8.746053479,0.926480528,0.021258155754505768
9.015545022,0.934956552,0.021817103650061932
9.211477746,0.93612899,
9.260352598,0.927575268,0.021332378732879128
10.24013575,0.943199482,
11.26888341,0.95759149,
12.27363443,1.012257811,
13.27775788,1.015673522,
14.28207558,1.034952517,
15.23720466,1.037159929,
16.26547417,1.012503854,
17.21979638,0.948817625,
17.24419645,0.941490133,
18.22317275,0.891220706,
19.17719612,0.803129425,
20.15662067,0.789467576,
