Cd,Cl
0.009473684,0.019056816
0.009437247,0.141401775
0.009558704,0.259986876
0.009898785,0.378447177
0.009983806,0.497053077
0.009983806,0.615707512
0.009680162,0.735758521
0.009473684,0.799484951
0.009497976,0.853293714
0.009461538,0.876556104
0.010287449,0.889540294
0.011465587,0.898653691
0.012680162,0.913862497
